Container has 10000 elements
1. "sKJt5AkLHhxXNY", Hash=88; Replacements: 2 (N-O B-j); Result: "sKJt5AkLHhxXOY"
3615. "uM6XnW", Hash=88.8333; Replacements: 19 (M-210  -202 b-55 5-171 o-113 O-12 A-115 E-121 1-2 4-197 i-112 t-123 q-41 J-229 v-128 6-42 f-177 C-76 h-84); Result: [117 210 42 88 110 87]
3616. "bwi8LLdwjQ", Hash=93.6; Replacements: 3 (q-17 K-15 Z-9); Result: [98 119 105 56 76 76 100 119 106 81]
3617. "rA7Egj vksHFiopFpvqx", Hash=94.35; Replacements: 10 (W-145 d-161 6-175 k-158 4-221 n-198 t-88 A-104 I-166 q-31); Result: [114 104 55 69 103 106 32 118 158 115 72 70 105 111 112 70 112 118 31 120]
3618. "Sbg5kcpl", Hash=95.375; Shift: 20; Result: "5&vS∂6∆"
3619. "jXZ2Tgi0byxgFgGOn", Hash=91.1176; Shift: 19; Result: "S¬“ë¢;KÅÀ√;2;:zs"
3620. "", Hash=0; Replacements: 11 (a-c j-4 w-Q i-A q-u 3-h l-y e-Z W-8 4-K f-G); Result: ""
3621. "uhE9rgqy8sWM", Hash=94.4167; Replacements: 10 (u-U S-T U-L n-o 8-a p-A J-C 6-8 v-R  -i); Result: "UhE9rgqyasWM"
3622. "1gWtcOYYzckQfrpzU3X", Hash=94.4211; Shift: 12; Result: "vuG6Ùïïß6∂f'ßU3Ö"
3623. "iIoPKm59RP5", Hash=79.8182; Replacements: 0 (); Result: [105 73 111 80 75 109 53 57 82 80 53]
3624. "r1", Hash=81.5; Shift: 5; Result: "N&"
3625. "ERxvri6p", Hash=96.75; Replacements: 15 (q-f j-i n-O M-I v-h P-s l-g 3-B w-r f-n m-D d-p x-V F-E Y-K); Result: "ERVhri6p"
3626. "DAQfF7EU", Hash=74.375; Shift: 10; Result: "Eô‹U"
3627. "WszjcnmSU3lmpx1Uw2if", Hash=96.3; Shift: 16; Result: "WszjcnmSU3lmpx1Uw2if"
3628. "HuApA57hrjySCsKkbWx", Hash=91.3684; Shift: 13; Result: "	Æ((¶ÊNM/jhnimLÍ"
3629. "Je0gQpM19KSlrmEJQvBn", Hash=85.45; Replacements: 0 (); Result: [74 101 48 103 81 112 77 49 57 75 83 108 114 109 69 74 81 118 66 110]
3630. "AVkGI", Hash=80.4; Shift: 3; Result: "
≤[:J"
3631. "Q7EPhhsaMxTugGR", Hash=90.6; Replacements: 5 (a-e L-S z-v s-c U-p); Result: "Q7EPhhceMxTugGR"
3632. "90htPADcVK", Hash=79.8; Replacements: 2 (N-x l-Y); Result: "90htPADcVK"
3633. "iZJzV3", Hash=88; Replacements: 1 (g-19); Result: [105 90 74 122 86 51]
3634. "", Hash=0; Shift: 5; Result: ""
3635. "TVQMVMuJYWorYe", Hash=90.9286; Replacements: 9 (T-v A-1 X-9 R-S 3-H o-L P-g u-7 2-I); Result: "vVQMVM7JYWLrYe"
3636. "Wz9PXnG", Hash=87.8571; Replacements: 17 (F-U 0-d o-5 B-6 C-W a-Q G-7 9-p T-j u-A s-3 w-G Q-x l-B p-f Z-L A-g); Result: "WzpPXn7"
3637. "RzCY7zswO66", Hash=87.0909; Shift: 7; Result: ")=°¨õ=πªß"
3638. "93ZZEVkvu", Hash=87.2222; Replacements: 6 (e-180 N-42 J-8 K-83 g-123 7-70); Result: [57 51 90 90 69 86 107 118 117]
3639. "dT", Hash=92; Replacements: 2 (p-89 O-16); Result: [100 84]
3640. "jhCFzK5IV", Hash=84; Replacements: 15 (4-H p-D o-U 7-u Q-L j-Z O-g J-F d-5 K-A R-3 2-w w-J D-O V-R); Result: "ZhCFzA5IR"
3641. "TDFCU2bdbz", Hash=84.2; Replacements: 1 (f-6); Result: "TDFCU2bdbz"
3642. "hRrptPpF7kIyy", Hash=97.4615; Replacements: 10 (C-n v-J A-D 8-w 6-y G-7 Z-d 7-W q-C w-X); Result: "hRrptPpFWkIyy"
3643. "cA", Hash=82; Replacements: 9 (4-S F-M D-C 8-5  -8 v-w g-K R-Q Z-3); Result: "cA"
3644. "aKrNG WcFsKPUvq8tt", Hash=88.7222; Replacements: 7 (e-4 3-o y-5 u-e E-F R-r q-2); Result: "aKrNG WcFsKPUv28tt"
3645. "uoXP", Hash=99; Shift: 5; Result: "ÆÌ
"
3646. "tq9", Hash=95.3333; Replacements: 3 (r-175 R-210 p-209); Result: [116 113 57]
3647. "B3Eng1x", Hash=81.1429; Replacements: 4 (D-j h-2 e-H f-Q); Result: "B3Eng1x"
3648. "El", Hash=88.5; Replacements: 5 (f-L H-I i-F a-  W-l); Result: "El"
3649. "pdO", Hash=97; Replacements: 1 (n-i); Result: "pdO"
3650. "mhYx", Hash=105.5; Replacements: 7 (P-52 9-141 b-167 7-115 g-217 Z-177 e-108); Result: [109 104 89 120]
3651. "8G", Hash=63.5; Replacements: 19 (9-223 J-181 F-176 S-69 a-58 V-104 U-226 5-45 0-151  -221 o-54 Z-25 k-160 4-192 v-254 Y-1 2-182 Q-241 z-23); Result: [56 71]
3652. "JSDGyxAHrS", Hash=87.1; Replacements: 12 (2-155 s-71 R-230 P-218 v-169 B-120 o-240 c-138 p-19 Z-88 b-101 W-163); Result: [74 83 68 71 121 120 65 72 114 83]
3653. "RuLmrY6pcGW", Hash=91.8182; Replacements: 7 (6-A R-o w-H N-v U-V V-6 y-i); Result: "ouLmrYApcGW"
3654. "KLQNC3", Hash=71.3333; Replacements: 1 (i-M); Result: "KLQNC3"
3655. "065h8b205We", Hash=68.3636; Replacements: 16 (u-161 c-246 g-248 I-40 x-66 w-32 h-221 R-152 Z-185  -135 Y-132 E-15 L-192 G-99 s-1 j-194); Result: [48 54 53 221 56 98 50 48 53 87 101]
3656. "F3p0m9rTmRdDW", Hash=83.9231; Replacements: 3 (R-E g-a 3-1); Result: "F1p0m9rTmEdDW"
3657. "1m9tsgo", Hash=94.2857; Shift: 0; Result: "1m9tsgo"
3658. "Xoal6rFJmvCqja", Hash=94.7143; Replacements: 9 ( -58 N-9 w-176 y-254 o-66 b-232 c-35 f-158 Q-20); Result: [88 66 97 108 54 114 70 74 109 118 67 113 106 97]
3659. "", Hash=0; Replacements: 15 ( -244 S-185 F-200 6-248 o-247 j-125 q-169 Y-84 2-131 x-76 z-28 7-120 i-126 N-20 B-67); Result: []
3660. "KkT", Hash=88.6667; Replacements: 5 (V-L L-x G-S P-r l-T); Result: "KkT"
3661. "x4bnN W5xOp9 3H2HEW", Hash=75.3158; Shift: 19; Result: "√°sr∫©√zÉ…ôBëB*∫"
3662. "O9ul7rAkNswv", Hash=94.3333; Replacements: 5 (q-W 1-5 Y-b Z-T y-k); Result: "O9ul7rAkNswv"
3663. "ZKJJ5zUZNh", Hash=84.5; Shift: 19; Result: "“ZRR©”™“rC"
3664. "uaDJweZas0RsRA7H5", Hash=85.2941; Shift: 2; Result: "’Ö)›ïiÖÕ¿IÕI‹!‘"
3665. "fG8wX", Hash=87.2; Replacements: 8 (v-251 L-108 G-179 0-106 m-63 P-55 K-35 h-166); Result: [102 179 56 119 88]
3666. "cN9", Hash=78; Replacements: 9 (r-203 z-140 M-117 J-149 w-52 t-111 0-193 Z-125 y-240); Result: [99 78 57]
3667. "d", Hash=100; Replacements: 4 (m-9 8-7 2-B l-v); Result: "d"
3668. "IHnR", Hash=84.25; Replacements: 18 (y-W 0-R x-g i-9 o-h p-L 6-O 1-j r-t 8-T W-M n-v k-S U-E K-e v-p M-q Y-o); Result: "IHvR"
3669. "0tMzlkMi", Hash=95; Replacements: 3 (t-5 i-42 G-63); Result: [48 5 77 122 108 107 77 42]
3670. "PwA9No9gB0Y2", Hash=76.9167; Shift: 4; Result: "wì‰ˆìv$ï#"
3671. "iHyCzWmi1cf", Hash=94.3636; Replacements: 3 (I-86 k-33 g-25); Result: [105 72 121 67 122 87 109 105 49 99 102]
3672. "3K", Hash=63; Replacements: 15 (8-206 M-146 L-184 q-166 c-123 r-72 u-119 B-151 Y-40 I-45 w-117 o-52 V-175 O-227 P-243); Result: [51 75]
3673. "QL", Hash=78.5; Replacements: 6 (F-157 z-173 L-151 k-162 o-57 E-26); Result: [81 151]
3674. "nRj1V3ra8q", Hash=86.4; Replacements: 4 (y-0 g-J 0-i Q-H); Result: "nRj1V3ra8q"
3675. "t9SusQhszBohHw1TZ", Hash=94.4118; Replacements: 13 (U-t o-Q u-r p-2 z-5 f-1 7-b P-w x-M w-j E-D c-6 n-R); Result: "t9SrsQhs5BQhHj1TZ"
3676. "p1Yy7I9Me2BTxVPaE", Hash=81.5294; Replacements: 0 (); Result: [112 49 89 121 55 73 57 77 101 50 66 84 120 86 80 97 69]
3677. "tEt ", Hash=83.25; Replacements: 1 (b-197); Result: [116 69 116 32]
3678. "wO", Hash=99; Replacements: 0 (); Result: [119 79]
3679. "erGm7qk p", Hash=90.4444; Replacements: 11 (m-141 P-223 2-33 r-44 L-75 n-167 y-201 W-80 O-148 Y-112 U-87); Result: [101 44 71 141 55 113 107 32 112]
3680. "", Hash=0; Shift: 10; Result: ""
3681. "fo4xeIz", Hash=97.2857; Shift: 11; Result: "3{°√+J”"
3682. "2C6D", Hash=59.75; Replacements: 15 (j-E H-w 0-T I-F S-I O-s y-C 2-r b-5 F-z 6-H m-a W-X t-k n-L); Result: "rCHD"
3683. "hdPvPAPGxsH2", Hash=87.9167; Replacements: 18 (k-36 i-226 u-93 8-107 G-237 R-38 K-254 6-247 J-83 p-81 P-18 0-8 3-207 e-196 O-67  -183 2-232 N-136); Result: [104 100 18 118 18 65 18 237 120 115 72 232]
3684. "LUdX", Hash=87.25; Replacements: 13 (c-2 J-B 9-O u-T K-d 5-w H-N A-7 S-  2-J M-n N-t U-h); Result: "LhdX"
3685. "A9FbZQXZxDSJN", Hash=81.6923; Replacements: 13 (o-q z-5 j-  F-t  -h X-x m-m a-G p-j Q-i U-e Y-9 G-g); Result: "A9tbZixZxDSJN"
3686. "vOaQVZ", Hash=91.8333; Replacements: 18 (X-251 A-38 e-217 T-33 D-204 Z-104 c-51 0-133 1-64 E-54  -26 Q-226 4-119 n-116 q-166 U-153 z-146 B-46); Result: [118 79 97 226 86 104]
3687. "Dx6i", Hash=86.75; Replacements: 20 (y-U O-4 9-y n-b M-r t-w K-t B-u U-N H-K g-x j-h 6-p X-3 8-P v-g I-G r-R E-2 N-o); Result: "Dxpi"
3688. "hogeqA", Hash=99.5; Replacements: 20 (N-17 a-214 V-228 u-84 R-220 6-184 M-75 O-244  -194 z-124 y-128 x-136 T-180 l-83 K-163 k-101 J-85 f-183 Q-67 d-7); Result: [104 111 103 101 113 65]
3689. "0a yjkNF0rIilAE", Hash=82.7333; Replacements: 7 (N-Z I-M l-u o-I d-4 v-1 O-i); Result: "0a yjkZF0rMiuAE"
3690. "UOy55i9", Hash=79; Replacements: 6 (j-p u-s i-G H-Y L-h B-P); Result: "UOy55G9"
3691. "gxhH", Hash=99.75; Shift: 12; Result: "váÜÑ"
3692. "XvCXs8Gf2PVH3uP", Hash=82.7333; Shift: 2; Result: "aŸaÕ‡ô»AY!Ã’A"
3693. "zlI4P4", Hash=81.1667; Replacements: 6 (4-s o-L j-a S-O i-  s-S); Result: "zlIsPs"
3694. "XctRzw", Hash=104.333; Replacements: 19 (5-216 m-158 z-32 3-40 s-96 8-103 G-241 k-53 9-175 y-128 o-123 T-60 6-237 t-73 a-131 Q-120 b-180 n-200 K-74); Result: [88 99 73 82 32 119]
3695. "qSbno", Hash=103; Shift: 11; Result: "ãös{"
3696. "N", Hash=78; Replacements: 3 (b-a 0-v r-M); Result: "N"
3697. "5Tmb4deVSXXXyKOtXhU", Hash=89.3684; Shift: 12; Result: "SE÷&CFVe5ÖÖÖó¥ÙGÖÜU"
3698. "dQflbKd4wcsJypq093", Hash=90.2778; Replacements: 20 (w-U J-e 1-C h-f f-8 s-M q-t U-g c-n 3-k m-v M-O  -1 o-x C-a 7-9 Z-r 4-h y-q g-G); Result: "dQ8lbKdhUnMeqpt09k"
3699. "hXNv", Hash=97; Replacements: 15 (A-1 v-I U-f I-c e-X B-K 1-J L-w Q-a k-b K-U q-e o-n f-q S-L); Result: "hXNI"
3700. "wb6g9aYAfDMLfJw5", Hash=84.5625; Replacements: 7 (f-w n-s L-m X-D O-T j-2 6-y); Result: "wbyg9aYAwDMmwJw5"
3701. "yaq0bj", Hash=97.1667; Replacements: 14 (j-d 6-C e-6 i-k 0-Q Z-c y-g B-J 9-  2-7 k-N x-I b-L T-l); Result: "gaqQLd"
3702. "aBdoRgMDSGlY33", Hash=82.6429; Replacements: 9 (s-F N-L L-p f-V B-6 2-2 w-N 9-5 x-n); Result: "a6doRgMDSGlY33"
3703. "9me92Kj6Sh7g ", Hash=75.8462; Replacements: 1 (t-j); Result: "9me92Kj6Sh7g "
3704. "ViNh NfM7GPqkax97BGO", Hash=81.65; Shift: 15; Result: "+¥'4'3¶õ£(∏µ∞<úõ!£ß"
3705. "k", Hash=107; Replacements: 16 (6-189 N-239 B-236 e-205 m-12 j-203 a-42 x-78 v-121 f-116 L-118 8-79 A-166 n-35 o-74 J-179); Result: [107]
3706. "4KrrkdzNgqZbxwfX", Hash=99.6875; Replacements: 10 (Z-K 5-v h-i a-S d-9 p-L f-R F-0 G-O A-5); Result: "4Krrk9zNgqKbxwRX"
3707. "CZTJCU0", Hash=73.5714; Shift: 0; Result: "CZTJCU0"
3708. "OMUAmyMzuXJx5N", Hash=90.3571; Shift: 3; Result: "zj™
kÀj”´¬R√©r"
3709. "", Hash=0; Shift: 12; Result: ""
3710. "SdKOQBqyenLZ4DuNR7r", Hash=87.4211; Shift: 17; Result: "¶»ñû¢Ñ‚Ú ‹ò¥hàÍú§n‰"
3711. "r3CGYJw2xt7T4Z", Hash=82.2857; Replacements: 15 (Z-159 4-163 q-203 t-141 d-18 z-64 N-8 h-169 C-129 1-14 I-230 D-207 P-12 r-152 l-3); Result: [152 51 129 71 89 74 119 50 120 141 55 84 163 159]
3712. "xfSwyPV", Hash=101.571; Replacements: 13 (M-w K-m Y-A Q-1 V-t g-c  -M G-H y-S z-z x-X W-P 1-J); Result: "XfSwSPt"
3713. "ISMO4b1HazNNsImbAHwM", Hash=84.3; Replacements: 9 (I-A z-2 1-Y W-l J-k u-   -7 Z-d k-W); Result: "ASMO4bYHa2NNsAmbAHwM"
3714. "44eK mBvvq", Hash=83.6; Replacements: 9 (R-S a-C 3-B f-D V-U T-p O-1 t-6 F-j); Result: "44eK mBvvq"
3715. "IEJ5Tdo aAmolHmPK", Hash=83.6471; Replacements: 6 (x-D 2-V 1-Q v-e A-n P-g); Result: "IEJ5Tdo anmolHmgK"
3716. "n uABJ3KN eQIG3fh", Hash=75.4706; Replacements: 10 (k-75 y-168 u-191 n-242 S-31 r-85 9-32 z-66 s-34 2-227); Result: [242 32 191 65 66 74 51 75 78 32 101 81 73 71 51 102 104]
3717. "yDJnU", Hash=91.6; Shift: 9; Result: "Úàî‹™"
3718. "d5jZuTHAE", Hash=84; Shift: 6; Result: "Möñ]PQ"
3719. "yrOtLnadsq1FLYaJUkJ", Hash=92.7368; Replacements: 14 (e-x 1-2 E-5 V-n h-Y x-6 i-8 Z-P y-F Y-N t-0 U-h z-t O- ); Result: "Fr 0Lnadsq2FLNaJhkJ"
3720. "Vxy9X", Hash=94.4; Replacements: 12 (J-r B-p z-C F-k 8-M v-Q O-q f-U 0-K T-Y N-V W-6); Result: "Vxy9X"
3721. "dQ", Hash=90.5; Replacements: 14 (H-61 2-210 6-9 U-133 o-147 4-233 s-35 9-169 k-144 w-52 3-68 P-247 m-201 z-53); Result: [100 81]
3722. "Cw3p5fGujsp7M", Hash=89; Replacements: 14 (i-3 Q-o B-h W-9 J-A c-L A-6 F-8 H-C O-1 7-X g-T w-K M-5); Result: "CK3p5fGujspX5"
3723. "RvAJmCPMs0qg", Hash=87.5833; Shift: 8; Result: "RvAJmCPMs0qg"
3724. "Er ", Hash=71.6667; Shift: 5; Result: "®N"
3725. "mxPKMiraod", Hash=98.8; Replacements: 12 (H-132 B-111 J-3 a-226 O-110 9-67 g-29 X-23 6-11 L-216 D-119 P-162); Result: [109 120 162 75 77 105 114 226 111 100]
3726. "YlN3 GiX", Hash=77.75; Replacements: 20 (r-8 o-112 z-225 v-227 6-29 w-145 f-115 b-33 D-110 k-34 d-45 g-167 7-133 V-23 H-194 S-66 B-53 y-186 0-5 X-52); Result: [89 108 78 51 32 71 105 52]
3727. "Sn", Hash=96.5; Replacements: 9 (3-173 c-144 U-153 s-91 k-64 X-117 j-199 b-82 1-232); Result: [83 110]
3728. "C", Hash=67; Replacements: 16 (l-53 z-233 y-220 O-169 t-34 I-77 K-116 A-11 o-174 Y-76 S-125 k-79 B-218 L-198 4-227 M-186); Result: [67]
3729. "br0zY", Hash=94.2; Replacements: 15 (P-139 c-228 A-56 J-253 0-124 X-9 R-115 Q-250 y-170 t-118 U-64 1-26 r-183 w-125 j-122); Result: [98 183 124 122 89]
3730. "OeAkGmlj7uscc03y", Hash=90.6875; Shift: 7; Result: "ß≤†µ£∂65õ∫π±±ôº"
3731. "piAvLDvdlD3tKQeQx7N", Hash=89.2632; Replacements: 1 (i-70); Result: [112 70 65 118 76 68 118 100 108 68 51 116 75 81 101 81 120 55 78]
3732. "B4Tjy4K5v4y Z", Hash=78.6154; Replacements: 4 (W-146 P-42 d-168 D-128); Result: [66 52 84 106 121 52 75 53 118 52 121 32 90]
3733. "ul", Hash=112.5; Replacements: 10 (H-252 Y-187 v-139 3-109 y-195 k-158 c-230 1-137 K-118 t-127); Result: [117 108]
3734. "20jqWndeFgRcVveJF790", Hash=83.9; Replacements: 9 (g-137 V-100 G-85 F-155 n-211 W-60 q-189 L-37 R-42); Result: [50 48 106 189 60 211 100 101 155 137 42 99 100 118 101 74 155 55 57 48]
3735. "Ot5dR7E8e0XR34klY", Hash=78.5882; Shift: 12; Result: "ÙGSF%sTÉVÖ%3C∂∆ï"
3736. " GQkcL6NwMtF2a0g", Hash=79.875; Replacements: 16 (5-107  -88 S-244 U-102 8-86 j-104 E-137 r-128 d-221 7-188 C-80 p-228 i-101 o-57 L-91 B-198); Result: [88 71 81 107 99 91 54 78 119 77 116 70 50 97 48 103]
3737. "bMHB4", Hash=73; Replacements: 20 (0-l p-s e-C b-q X-Q K-3 M-E v-r N-J a-d E-4 O-g 7-S  -y 8-X J-  y-u 6-K P-x 1-L); Result: "qEHB4"
3738. "8sWFA8tTaq3dJ3OWsRqa", Hash=85.4; Replacements: 4 (A-151 a-116 T-104 t-232); Result: [56 115 87 70 151 56 232 104 116 113 51 100 74 51 79 87 115 82 113 116]
3739. "g4T89oLm91f t", Hash=77.2308; Replacements: 19 (n-241 2-94 s-53 M-149 a-179 m-168 0-18 5-14 g-108 E-37 T-175 b-226 6-233 H-129 q-244 h-12 x-66 O-169 k-194); Result: [108 52 175 56 57 111 76 168 57 49 102 32 116]
3740. "al", Hash=102.5; Replacements: 11 (P-116 0-195 l-127 n-154 Y-121 Q-172 i-108 R-175 p-15 b-157 I-30); Result: [97 127]
3741. "V31TlxjShfy", Hash=92.1818; Replacements: 20 (o-62 p-25 r-21 E-220 i-76 2-1 w-187 M-84 h-60 z-237 b-131 G-43 7-253 H-80 5-230 B-40 q-152 c-244 J-225 P-214); Result: [86 51 49 84 108 120 106 83 60 102 121]
3742. "JjMxaSHfqvmYb5pYDwK", Hash=93.3684; Replacements: 7 (r-x Q-0 t-L e-E z-l j-R Y-q); Result: "JRMxaSHfqvmqb5pqDwK"
3743. "Udogz6UxRIL6VBqsTolb", Hash=92.3; Replacements: 9 (Y-245 E-190 L-194 W-28 V-215 p-86 r-55 T-133 o-252); Result: [85 100 252 103 122 54 85 120 82 73 194 54 215 66 113 115 133 252 108 98]
3744. "2e0PJ2Gic5RODm", Hash=76.3571; Replacements: 13 (C-7 m-  2-9 A-J L-S k-0 4-z P-d Y-Y S-a h-N z-3 D-6); Result: "9e0dJ9Gic5RO6 "
3745. "0U", Hash=66.5; Replacements: 11 (4-93 o-237 y-248 1-249 8-102 f-99 W-47 n-13 H-253 T-30 b-252); Result: [48 85]
3746. "AwVEco", Hash=91.5; Replacements: 16 (g-F 1-l e-5 U-P c-w a-o p-R v-u z-B L-8 n-S P-M Z-z R-9 3-T b- ); Result: "AwVEwo"
3747. " TrIhNv6tDo5 SW2", Hash=78.5625; Shift: 17; Result: "@®‰í–úÏlËàﬁj@¶Æd"
3748. "zwAbC 1w", Hash=83.875; Replacements: 14 (O-202 c-209 T-102 J-91 w-118 k-121 o-200 7-167 P-123  -27 i-94 K-216 e-82 R-158); Result: [122 118 65 98 67 27 49 118]
3749. "9uG", Hash=81.6667; Replacements: 16 (L-P n-j B-4 q-X Y-U M-d 4-f j-n X-O v-R 7-V 3-k k-q P-W K-H N-y); Result: "9uG"
3750. "ATvNd0fZ14U5e5QD37g", Hash=75.5789; Replacements: 9 (E-0 Y-q N-l h-B F-v j-U A-N V-r 7-K); Result: "NTvld0fZ14U5e5QD3Kg"
3751. "PtHVj7o90RYunz1", Hash=86.6667; Replacements: 16 (7-y B-C E-g Y-O 1-t Q-0 9-c p-X W-P  -9 x-i H-4 S-k k-j Z-Y C-d); Result: "Pt4Vjyoc0ROunzt"
3752. "Ys6cLJpp1qTtNe", Hash=90.8571; Shift: 19; Result: " õ±bRÉÉâã¢£r+"
3753. "gcSgkqB33YyUJ5", Hash=85.5714; Replacements: 15 (W-H I-Z i-K R-F T-6 K-r s-I f-  A-T c-V y-g B-m Q-M d-o a-0); Result: "gVSgkqm33YgUJ5"
3754. "9Gv6rdR", Hash=85.1429; Shift: 18; Result: "‰Ÿÿ…ëI"
3755. "u1rjibOAeGD6p", Hash=87.6154; Replacements: 5 (F-w 2-X c-H S-E N-U); Result: "u1rjibOAeGD6p"
3756. "MlsD", Hash=92; Replacements: 8 (b-226 p-72 s-242 x-66 9-101 d-22 K-90 6-148); Result: [77 108 242 68]
3757. "Ic2dcOyb5", Hash=85.7778; Replacements: 3 (5-1 B-Z f-b); Result: "Ic2dcOyb1"
3758. "bE", Hash=83.5; Replacements: 9 (y-104 B-254 w-47 z-138 W-224 G-64 6-183 N-181 T-131); Result: [98 69]
3759. "vcj7qGQ", Hash=91.8571; Replacements: 12 (n-B f-e D-c F-q W-V q-n G-T Z-x A-i V-8 z-5 v-g); Result: "gcj7nTQ"
3760. "gaC3", Hash=79.5; Replacements: 1 (J-174); Result: [103 97 67 51]
3761. "DxxILU5t6C0i56bl9nZy", Hash=83.8; Replacements: 13 (0-25 h-35 J-208 U-161 w-27 X-85 2-90 1-178 D-11 N-184 5-198 e-123 R-22); Result: [11 120 120 73 76 161 198 116 54 67 25 105 198 54 98 108 57 110 90 121]
3762. "bh3O VOkb2D6Vg", Hash=78.2143; Shift: 10; Result: "â°Ã=ÄY=≠â»ÿYù"
3763. "pKXpU8", Hash=88; Shift: 9; Result: "‡ñ∞‡™p"
3764. "q0", Hash=80.5; Shift: 4; Result: ""
3765. "z", Hash=122; Replacements: 1 (7-G); Result: "z"
3766. "Sfe 1BouS6O8aaQea7", Hash=81.1667; Shift: 15; Result: "©3≤ò!∑∫©ß∞∞®≤∞õ"
3767. "", Hash=0; Shift: 5; Result: ""
3768. "jnafyFkfukB3", Hash=96.3333; Replacements: 12 (5-z j-2 z-q Q-W M-v 4-x A-9 H-Y G-7 v-E 7-n J-y); Result: "2nafyFkfukB3"
3769. "6m dcSTtYLmaY5XWR1h", Hash=84.2105; Replacements: 20 (D-111 r-255 V-152 G-129 N-209 9-91 I-158 b-227 W-130 2-42 6-124 C-20 7-2 Z-110 3-24 n-107 e-11 1-224 f-213 8-223); Result: [124 109 32 100 99 83 84 116 89 76 109 97 89 53 88 130 82 224 104]
3770. "KsaU5y9pnbuCAppsnyom", Hash=98.1; Replacements: 5 (o-143 e-228 Y-37 O-149 x-114); Result: [75 115 97 85 53 121 57 112 110 98 117 67 65 112 112 115 110 121 143 109]
3771. "6fmcd2Z29PoE7", Hash=78.9231; Replacements: 13 (2-244 c-121 Y-7 K-158 C-127 p-141 5-65 n-181 g-101 W-193 m-163 y-156 0-17); Result: [54 102 163 121 100 244 90 244 57 80 111 69 55]
3772. "MCoBVKyI90J2K", Hash=75.3846; Shift: 19; Result: "j{≤ZÀJ…ÅRëZ"
3773. "je9w5xcS ", Hash=85.5556; Replacements: 9 (X-C o-n H-T y-x Z-a V-o s-A 2-t T-p); Result: "je9w5xcS "
3774. "Xri", Hash=102.333; Shift: 18; Result: "a…•"
3775. "JsUw5eazqKyeIkkM0", Hash=93.4118; Replacements: 20 (E-25 K-83 o-200 D-31 O-100 2-35 j-24 n-129 5-140 p-84 W-244 M-70 i-54 N-15 B-254 X-1 Y-3 r-27 f-9 b-34); Result: [74 115 85 119 140 101 97 122 113 83 121 101 73 107 107 70 48]
3776. "qQef1tCOXY3DW174hP97", Hash=77.15; Replacements: 3 ( -m Q-X C-G); Result: "qXef1tGOXY3DW174hP97"
3777. "HX6MjWJfDG5oeubP", Hash=84.9375; Replacements: 3 (E-H  -b f-h); Result: "HX6MjWJhDG5oeubP"
3778. "cYYYN2", Hash=82.3333; Replacements: 12 (N-h 1-Z Z-A A-Q t-4 B-B Y-E b-i e-w g-0 E-e H-6); Result: "cEEEh2"
3779. "QibGg1HUqT xwtPIa", Hash=88.1176; Replacements: 14 (0-103 Q-223 J-138 r-186 O-187 n-114 a-33 A-53 D-28 T-171 k-101 W-210 4-35 u-88); Result: [223 105 98 71 103 49 72 85 113 171 32 120 119 116 80 73 33]
3780. "tJHMakJwq2qZLj5yhhMZ", Hash=91.65; Shift: 15; Result: ":%$¶∞µ%ª∏∏-&5öº44¶-"
3781. "zg", Hash=112.5; Shift: 7; Result: "=≥"
3782. "", Hash=0; Shift: 19; Result: ""
3783. "UnnVsbyS6GZqoUNZ7g", Hash=92.1111; Replacements: 18 (z-L j-b e-0 4-I i-D l-7 p-V 7-o M-T g-X C-J S-j x-Z K-m N-4 A-e F-r Z-K); Result: "UnnVsbyj6GKqoU4KoX"
3784. "qWe", Hash=100.333; Shift: 13; Result: ".Í¨"
3785. "c", Hash=99; Shift: 20; Result: "6"
3786. "UiuD7Hn4UluWJ4PTx6", Hash=84.7222; Replacements: 0 (); Result: "UiuD7Hn4UluWJ4PTx6"
3787. "L7 NFrsRlcRE", Hash=81.6667; Replacements: 14 (2-c a-R P-H E-n x-J k-o 5-r R-6 r-X  -5 t-2 i-0 u-z e-B); Result: "L75NFXs6lc6n"
3788. "wA", Hash=92; Replacements: 2 (J-L X-A); Result: "wA"
3789. "sLBLDdcRms19", Hash=84.3333; Replacements: 0 (); Result: [115 76 66 76 68 100 99 82 109 115 49 57]
3790. "TfqkgQvZiHU", Hash=96.3636; Shift: 17; Result: "®Ã‚÷Œ¢Ï¥“ê™"
3791. "yaQ9BF70rwd4", Hash=81.6667; Shift: 15; Result: "º∞®ú!#õ9ª2"
3792. "VMSVf2sYUpFFDM3b1Bk", Hash=81.1053; Replacements: 8 (A-d j-0 v-9 3-N b-g t-a 9-X q-Z); Result: "VMSVf2sYUpFFDMNg1Bk"
3793. "0wHq0SDzQN", Hash=83.2; Shift: 9; Result: "`Óê‚`¶àÙ¢ú"
3794. "Z8Je8wX8S", Hash=80.3333; Shift: 0; Result: "Z8Je8wX8S"
3795. "ReFN", Hash=82.75; Replacements: 20 (7-126 S-222 m-251 W-150 4-11 B-131 z-153 Y-249 t-233 O-39 J-100 h-20 e-99 0-111 r-28 g-139 j-18 a-170 G-228 H-45); Result: [82 99 70 78]
3796. "b40cmBzEzAIPXYWYmLd", Hash=86.3684; Shift: 13; Result: "LÜl≠HO®O()
+Í+≠âå"
3797. "M0ih839Dh9RmxEv", Hash=81.6667; Shift: 11; Result: "jÅKC¡ô…"C…ík√*≥"
