Container has 1000 elements
1. "sKJt5AkLHhxXNY", Hash=88; Replacements: 2 (N-O B-j); Result: "sKJt5AkLHhxXOY"
509. "GEg8DXAmvD", Hash=81.5; Replacements: 3 (j-C d-J 7-A); Result: "GEg8DXAmvD"
510. "c1BoYbzTB706p", Hash=81; Replacements: 1 (a-23); Result: [99 49 66 111 89 98 122 84 66 55 48 54 112]
511. "Y LYeAeaIbSojh23m", Hash=84.4118; Replacements: 4 (l-31 n-235 m-79 7-94); Result: [89 32 76 89 101 65 101 97 73 98 83 111 106 104 50 51 79]
512. "tbENOxphu89", Hash=91.4545; Replacements: 12 (J-220 D-190 6-111 Z-131 m-185 f-224 9-76 t-71 3-16 i-127 p-125 E-171); Result: [71 98 171 78 79 120 125 104 117 56 76]
513. "ekXXNl0g8zzcNF", Hash=90.5714; Replacements: 1 (O-143); Result: [101 107 88 88 78 108 48 103 56 122 122 99 78 70]
514. "EXYP2", Hash=75.2; Replacements: 20 (F-156 R-42 q-238 y-84 8-127 o-25 9-96 J-75 c-158 S-80 p-136 A-23 x-239 b-57 i-153 j-37 u-99 N-31 d-14 f-128); Result: [69 88 89 80 50]
515. "MT9MOCTa5J90KYC", Hash=72.3333; Replacements: 16 (a-L U-  M-A t-M j-o 9-W g-q W-d 7-r v-w B-x z-R F-6 Y-h A-a o-I); Result: "ATWAOCTL5JW0KhC"
516. "wb", Hash=108.5; Replacements: 2 (o-115 c-123); Result: [119 98]
517. "lHvkmlFpLlhwppCWPuz", Hash=100.421; Replacements: 12 (D-b 0-m O-x c-P 4-t l-I Y-r T-G S-B x-5 o-2 k-8); Result: "IHv8mIFpLIhwppCWPuz"
518. "wrzjjNhmTvth", Hash=106.667; Replacements: 13 (X-R d-o 9-g F-e W-K 8-E H-L 6-O u-7 P-1 y-S 4-H N-h); Result: "wrzjjhhmTvth"
519. "l6yLDigwj 59p9xr6CT", Hash=84.7368; Replacements: 2 (T-I 2-S); Result: "l6yLDigwj 59p9xr6CI"
520. "YGQ3q", Hash=81; Shift: 16; Result: "YGQ3q"
521. "cp7g4HcG", Hash=82.875; Replacements: 12 (d-T s-5 z-1 B-y v-A E-u k-S Q-v N-2 P-E M-t V-P); Result: "cp7g4HcG"
522. "NLq0qwnmTznehg", Hash=99.2857; Shift: 4; Result: "‰ƒwÊ÷EßÊVÜv"
523. "AHs1dhfAcqzjUg", Hash=92.8571; Replacements: 0 (); Result: "AHs1dhfAcqzjUg"
524. "cd0g", Hash=87.5; Replacements: 0 (); Result: [99 100 48 103]
525. "PJYXLrSmdHgbNHO", Hash=87.6667; Shift: 2; Result: "A)ea1…Mµë!ùâ9!="
526. "Z", Hash=90; Replacements: 2 (1-233 d-135); Result: [90]
527. "FvCW", Hash=85.5; Replacements: 0 (); Result: [70 118 67 87]
528. "KP", Hash=77.5; Shift: 11; Result: "ZÇ"
529. "s", Hash=115; Replacements: 0 (); Result: [115]
530. "gqMosYHRtTaJH6cRCb", Hash=89.1667; Shift: 0; Result: "gqMosYHRtTaJH6cRCb"
531. "gzo3Ey8MGsd", Hash=90.5455; Replacements: 16 (7-42 W-237 Z-85 q-111 5-95  -110 o-187 l-179 J-238 L-230 9-136 X-48 c-6 n-46 A-197 k-73); Result: [103 122 187 51 69 121 56 77 71 115 100]
532. "ik7qX6fxf6ba3g", Hash=89.2143; Replacements: 8 (8-A  -d z-R X-j Q-a 3-N v-y b-Z); Result: "ik7qj6fxf6ZaNg"
533. "67bHq2ohi4dc5vR", Hash=84.4; Replacements: 16 (2-3 1-K u-R T-Z K-v J-l f-f t-8 S-6 i-b I-s r-9 B-z y-2 w-E W-a); Result: "67bHq3ohb4dc5vR"
534. "RfLlx0lSe5cjSl", Hash=91.2143; Replacements: 10 (h-s P-I d-i Q-p x-4 2-8 T-m 1-y M-Y 3-5); Result: "RfLl40lSe5cjSl"
535. "Lc33sV", Hash=79.6667; Replacements: 11 (5-a z-b a-P Z-N T-9 f-z D-4 M-u P-e 4-V 3-Q); Result: "LcQQsV"
536. "BavytXkqmv", Hash=105.3; Replacements: 0 (); Result: [66 97 118 121 116 88 107 113 109 118]
537. "eaKwetvWH", Hash=98.4444; Shift: 17; Result: " ¬ñÓ ËÏÆê"
538. "ez97iqyqW", Hash=97.1111; Shift: 1; Result: " Ùrn“‚Ú‚Æ"
539. "i", Hash=105; Replacements: 5 (p-161 C-202 s-111 T-106 O-208); Result: [105]
540. "cWhbIal O", Hash=86.3333; Shift: 7; Result: "±´41§∞6ß"
541. "l", Hash=108; Replacements: 4 (H-O h-H l-i D-t); Result: "i"
542. "5fu7fN8", Hash=80.4286; Shift: 0; Result: "5fu7fN8"
543. "Ddzz5f1 ks", Hash=87; Replacements: 14 (Y-  y-U 2-N Z-m U-l h-6 j-k D-q q-J t-D 1-C p-4 g-b  -8); Result: "qdzz5fC8ks"
544. "xCrjeR", Hash=98.3333; Shift: 10; Result: "·…©ïI"
545. "F", Hash=70; Replacements: 15 (m-t x-9 r-n 3-  Y-q k-D C-S z-T L-c  -i b-J d-l M-O U-H R-a); Result: "F"
546. "ai", Hash=101; Shift: 18; Result: "Ö•"
547. "foGyF9", Hash=88.6667; Replacements: 4 (E-s L-G T-y G-v); Result: "fovyF9"
548. "SuvdRH4LaIRxkzL", Hash=91.8; Replacements: 14 (8-r H-0 I-M a-b B-9 q-T Z-7 p-v h-R W-F s-f M-t k-K c-q); Result: "SuvdR04LbMRxKzL"
549. "", Hash=0; Replacements: 20 (p-23 f-225 n-84 v-64 d-30 A-13 6-155 P-25 M-130 Q-246 7-187 w-210 X-63 Y-169 5-73 0-228 H-219 T-227 t-172 U-87); Result: []
550. "6fjojOQrULQw1kfO lYD", Hash=87.4; Replacements: 12 (A-224 G-167 E-234 I-116 U-21 X-165 6-105 O-237 b-174 4-52 a-74 V-3); Result: [105 102 106 111 106 237 81 114 21 76 81 119 49 107 102 237 32 108 89 68]
551. "D", Hash=68; Shift: 12; Result: "D"
552. "1ng", Hash=87.3333; Shift: 14; Result: "LõŸ"
553. "s2Nsws5ezWL3", Hash=90.1667; Replacements: 2 (O-13  -103); Result: [115 50 78 115 119 115 53 101 122 87 76 51]
554. "", Hash=0; Shift: 20; Result: ""
555. "m", Hash=109; Replacements: 10 (Q-185 b-83 J-217 8-232 p-49 h-77 0-151 L-74 u-104 2-103); Result: [109]
556. "GSfTXt6IBIRhs3Y5la4", Hash=82.1579; Shift: 7; Result: "£©3*,:§!§)4πô¨ö6∞"
557. "jwE6KJn5G4SPYsR9HhtH", Hash=82.65; Replacements: 14 (y-31 g-114 h-141 j-103 D-245 7-14 2-77 8-222 Z-248 e-185 r-132 5-121 B-108 b-64); Result: [103 119 69 54 75 74 110 121 71 52 83 80 89 115 82 57 72 141 116 72]
558. "6slqaU5UPS7", Hash=84.3636; Replacements: 14 (C-245 l-12 A-139 M-84 j-157 I-217 r-105 Z-3 H-200 o-152 g-240 U-243 Y-77 f-149); Result: [54 115 12 113 97 243 53 243 80 83 55]
559. " iNXChLCgO", Hash=79.9; Shift: 15; Result: "¥',°4&°≥ß"
560. "BU7E0NoEFNwYIs4wJ6", Hash=79.1111; Replacements: 3 (O-L x-r L-Z); Result: "BU7E0NoEFNwYIs4wJ6"
561. "6qtQuWv5oOkog", Hash=96.1538; Shift: 11; Result: "±ã£ä´∫≥©{z[{;"
562. "LpUdR2I", Hash=82.5714; Replacements: 19 (q-B 1-Q I-t G-6 X-J u-3 5-h r-0 L-R g-j e-p A-D z-Y a-s  -4 2-w F-E C-S v- ); Result: "RpUdRwt"
563. "NQHuJokCMWD6N9BvgBe", Hash=83.2632; Shift: 0; Result: "NQHuJokCMWD6N9BvgBe"
564. "0NH8d", Hash=70.8; Replacements: 13 (9-W g-G l-w w-f I-C j-x y-n i-S k-o 3-g 8-H N-h 6-8); Result: "0hHHd"
565. "VfLL2rzL2BlDf", Hash=84.3077; Shift: 11; Result: "≤3bbëì”bëc"3"
566. "QUspsrWW", Hash=99.5; Replacements: 14 (L-V 9-6 S-p 1-9 c-D 2-W A-3 X-X k-P g-R G-i 0-O P-g f-M); Result: "QUspsrWW"
567. "9YXwnkI7Fyax9sJd7HJ", Hash=87; Replacements: 6 (x-4 n-9 S-  t-V d-2 e-v); Result: "9YXw9kI7Fya49sJ27HJ"
568. "fRGA68c23rMzSS3kYUz4", Hash=80.75; Replacements: 7 (t-U i-E 5-n w-w  -J y-r s-z); Result: "fRGA68c23rMzSS3kYUz4"
569. "DvCHb5ew8O in70", Hash=78.7333; Replacements: 18 (o-2 7-119 d-130 W-14 w-158 Y-91 O-211 r-134 J-108 e-226 h-10 n-238 U-218  -87 f-16 b-120 C-73 y-66); Result: [68 118 73 72 120 53 226 158 56 211 87 105 238 119 48]
570. "c2IoXu63XpiuVpCr4hI", Hash=88.0526; Shift: 14; Result: "ÿåR€]çÃZ]ï–úR"
571. " sIaLc", Hash=82; Replacements: 8 (g-l i-y f-h s-o p-5 3-0 Z-A F-Y); Result: " oIaLc"
572. "Qavp1y9b9UTMAh", Hash=86.0714; Replacements: 7 (o-Y n-W F-t V-P T-V N-m x-I); Result: "Qavp1y9b9UVMAh"
573. " uwEmltxXYuBSW44W9", Hash=87.1111; Replacements: 7 (2-124 S-33 J-112 7-214 P-93 B-202 f-152); Result: [32 117 119 69 109 108 116 120 88 89 117 202 33 87 52 52 87 57]
574. "FMNiWn lrxkR8rlBtU7D", Hash=87.9; Shift: 17; Result: "åöú“Æ‹@ÿ‰÷§p‰ÿÑË™nà"
575. "MojAuNEqhaP74I", Hash=85.5; Replacements: 17 (F-249 4-183 z-88 3-193 i-187 e-24 T-49 B-50 R-26 d-224 n-98 b-22 A-106 U-122 K-203 9-53 1-82); Result: [77 111 106 106 117 78 69 113 104 97 80 55 183 73]
576. "z zpZ9RdD7yX2LfIIg1", Hash=82.8947; Replacements: 7 (M-219 y-209 8-3 0-91 J-188 t-116 P-236); Result: [122 32 122 112 90 57 82 100 68 55 209 88 50 76 102 73 73 103 49]
577. "8E", Hash=62.5; Replacements: 10 (0-z V-h w-M j-k W-C z-P J-X L-p c-s l-G); Result: "8E"
578. "OcoLT", Hash=89.8; Replacements: 16 (U-237 O-25 M-150 s-218 F-206 S-155 k-164 E-211 6-180 0-79 I-4 T-56 1-171 d-95 l-226 r-227); Result: [25 99 111 76 56]
579. "JpCnP2VJBizuv58JI8", Hash=82.9444; Replacements: 10 (t-96 Q-87 u-79 0-62 y-224 n-251  -56 K-86 Z-209 P-124); Result: [74 112 67 251 124 50 86 74 66 105 122 79 118 53 56 74 73 56]
580. "wLL", Hash=90.3333; Replacements: 16 (c-83 D-175 m-24 1-105  -182 Z-30 Q-228 x-13 N-210 g-118 R-208 0-157 Y-137 z-240 8-205 r-138); Result: [119 76 76]
581. "WjdFgE9ivP5W", Hash=86.25; Replacements: 4 (7-G E-2 O-H P-1); Result: "WjdFg29iv15W"
582. "mmk4oc", Hash=97.8333; Replacements: 10 (D-99 m-175 V-201 O-152 3-105 j-162 t-199 T-110 f-231 P-163); Result: [175 175 107 52 111 99]
583. "FLStV9 ", Hash=74.2857; Replacements: 11 (V-p K-N B-b c-g Z-h U-o v-i t-X 1-0 3-K O-y); Result: "FLSXp9 "
584. "psM", Hash=101.333; Shift: 9; Result: "‡Êö"
585. "2l", Hash=79; Replacements: 2 (r-48 o-233); Result: [50 108]
586. "", Hash=0; Replacements: 4 (y-111 h-135 k-20 A-131); Result: []
587. "W", Hash=87; Shift: 19; Result: "∫"
588. "N", Hash=78; Replacements: 19 (X-B I-m 2-I N-  h-e y-Y 8-9 J-a T-N n-6 z-u q-E f-k K-W V-d A-X 1-5 E-L w-t); Result: " "
589. "DFBXQFlFQciyr", Hash=87.7692; Shift: 1; Result: "àåÑ∞¢åÿå¢∆“Ú‰"
590. " g2y", Hash=76.5; Replacements: 15 (s-248 F-49 1-198 H-128 M-253 S-79 9-32 A-211 l-59 e-43 z-229 5-77 w-67  -218 L-55); Result: [218 103 50 121]
591. "e1ZQPG", Hash=78.6667; Replacements: 2 (5-92 T-145); Result: [101 49 90 81 80 71]
592. "cD8uRA7vWJ", Hash=82.1; Replacements: 5 (B-6 r-195 3-177 w-205 6-119); Result: [99 68 56 117 82 65 55 118 87 74]
593. "IPRx", Hash=88.75; Replacements: 18 (y-239 P-33 M-140 O-255 b-115 6-155 0-247 I-36 e-157 N-220 5-185 U-188 t-229 d-98 8-118 S-206 n-127 a-134); Result: [36 33 82 120]
594. "58BDl", Hash=70.2; Replacements: 16 (9-255 7-104 W-92 T-108 0-7 J-67 G-145 b-134 y-141 C-14 O-122 8-5 V-172 U-240 S-40 X-95); Result: [53 5 66 68 108]
595. "Jb1rV0CikSSgL cY to", Hash=82.7368; Shift: 8; Result: "Jb1rV0CikSSgL cY to"
596. "d31W", Hash=71.75; Shift: 14; Result: "ÃL’"
597. "Z", Hash=90; Replacements: 9 (f-A s-f 7-8 i-7 A-u N-H B-l a-L 0-J); Result: "Z"
598. "b0", Hash=73; Shift: 9; Result: "ƒ`"
599. "bTNZsVYI", Hash=89.125; Shift: 15; Result: "1*'-π+¨§"
600. "fwN9ey5Nhg0tePMi0", Hash=87.7059; Replacements: 15 (y-9 d-169 R-95 c-242 B-7 G-175 5-240 O-72 w-252 Q-2 3-163 0-86 P-30 t-90 a-214); Result: [102 252 78 57 101 9 240 78 104 103 86 90 101 30 77 105 86]
601. "kQ7EUmFVrknO5jli5y", Hash=89.8889; Shift: 7; Result: "µ®õ¢™∂#+9µ7ßö56¥öº"
602. "eH2ByEMk4lvIMrB", Hash=84.7333; Shift: 16; Result: "eH2ByEMk4lvIMrB"
603. "oglnKNp0dL", Hash=92.1; Replacements: 3 (L-t s-8 h-P); Result: "oglnKNp0dt"
604. "XpAnuzR2r", Hash=95.5556; Replacements: 0 (); Result: "XpAnuzR2r"
605. "", Hash=0; Replacements: 5 (c-199 s-139 7-149 E-152 t-78); Result: []
606. "Jpt", Hash=100.667; Replacements: 8 (M-J 2-4 D-B f-y S-N 1-5 t-x 7-K); Result: "Jpx"
607. "5ZjOG6lBw4KHaHWE9r", Hash=80.0556; Shift: 16; Result: "5ZjOG6lBw4KHaHWE9r"
608. "891aVBVAahN3", Hash=74.3333; Replacements: 20 (d-226 t-165 j-126 1-143 k-109 S-10 7-248 J-133 R-138 y-155 6-30 s-195 G-15 m-45 c-26 B-212 4-211 F-246 r-41 V-117); Result: [56 57 143 97 117 212 117 65 97 104 78 51]
609. "62uX2kJb9cOIr8DhQv", Hash=82.6111; Replacements: 15 (f-s n-C B-p b-c v-j d-R 7-N i-Q a-6 P-K Z-8 q-F r-G T-B K-d); Result: "62uX2kJc9cOIG8DhQj"
610. "VlTE", Hash=86.75; Replacements: 16 (h-94 r-215 Q-192 Y-2 v-237 j-167 I-200 p-134 y-49 i-54 F-240 S-222 e-155 W-228 X-75 H-95); Result: [86 108 84 69]
611. "MVtXMgPN0oYl", Hash=88.4167; Replacements: 2 (w-90 Q-246); Result: [77 86 116 88 77 103 80 78 48 111 89 108]
612. "8kdgqOP1LQST8OWY4", Hash=80.8235; Replacements: 9 ( -207 R-148 j-138 g-60 t-188 a-129 2-32 3-64 7-183); Result: [56 107 100 60 113 79 80 49 76 81 83 84 56 79 87 89 52]
613. "wNq", Hash=103.333; Replacements: 10 (a-a R-R G-v o-O C-1 q-7 n-w s-P U-p B-W); Result: "wN7"
614. "QTLwpgY3khyS", Hash=94.1667; Replacements: 4 (R-179 a-106 7-180 t-42); Result: [81 84 76 119 112 103 89 51 107 104 121 83]
615. "rmQ", Hash=101.333; Replacements: 8 (T-117 i-129 O-246 4-120 8-45 5-21 q-153 g-20); Result: [114 109 81]
616. "ryT", Hash=106.333; Replacements: 14 (q-76 E-169 y-104 V-126 f-1 s-93 N-32 e-147 l-194 m-95 M-10 2-101 S-143 5-210); Result: [114 104 84]
617. "m0EoiyazDnwQ", Hash=96.6667; Replacements: 9 (w-115 3-161 r-84 P-188 a-158 W-162 u-79 j-214 F-201); Result: [109 48 69 111 105 121 158 122 68 110 115 81]
618. "rfKb", Hash=97.25; Replacements: 8 (U-53 u-8 S-189 O-156 c-110 d-106 N-29 E-69); Result: [114 102 75 98]
619. "Jp9", Hash=81; Shift: 16; Result: "Jp9"
620. "OpkuNXmloKhsxc", Hash=101.571; Replacements: 1 (3-127); Result: [79 112 107 117 78 88 109 108 111 75 104 115 120 99]
621. "A", Hash=65; Replacements: 1 (6-9); Result: "A"
622. "2M", Hash=63.5; Replacements: 2 (k-2 q-0); Result: "2M"
623. "SCnRN3uheJl7c3OwGPi", Hash=86; Shift: 20; Result: "54Ê%‰3WÜV§∆s63Ùwtñ"
624. "1kS ", Hash=67.75; Replacements: 14 (M-z X-P 0-G f-j G-s 5-a L-F q-4 Y-T c-0 E-K J-5 i-M N- ); Result: "1kS "
625. "UMHW4DhtzhX8lh9", Hash=86.6667; Replacements: 20 (z-73 3-244 j-39 p-41 Y-214 m-167 D-29 E-211 y-37 K-7 R-84 C-241 n-158 W-121 A-242 5-193 O-87 i-163 o-247 w-89); Result: [85 77 72 121 52 29 104 116 73 104 88 56 108 104 57]
626. "NUOY6x", Hash=84.1667; Replacements: 4 (F-39 C-166 J-98 U-10); Result: [78 10 79 89 54 120]
627. "U1F1lV0C", Hash=70.25; Replacements: 20 (e-M t-f h-a V-d B-N G-E 8-2 u-e 6-i J-K m-C F-P A-G Y-b s-m v-1 y-H o-L i-J l-r); Result: "U1P1rd0C"
628. "Kg6 ", Hash=66; Replacements: 14 (B-  y-q W-c u-R K-r a-t f-h T-W n-5 O-8 g-O A-V 7-N b-u); Result: "rO6 "
629. "ZJPiBfmBjtVEOd", Hash=89.1429; Shift: 9; Result: "¥î†“ÑÃ⁄Ñ‘Ë¨äû»"
630. "4WLkxvlqYqO6MC", Hash=90; Replacements: 1 (i-S); Result: "4WLkxvlqYqO6MC"
631. "biOQxUYC0GWytr0gBbcg", Hash=89.9; Shift: 19; Result: "Kzä√™ Å:∫À£ìÅ;;"
632. "jryHryMDZOl Zm", Hash=92.9286; Replacements: 2 (G-e I-s); Result: "jryHryMDZOl Zm"
633. "ZJe", Hash=88.3333; Replacements: 5 (j-100 Y-75 o-236 n-144 X-199); Result: [90 74 101]
634. "ZfwllGHDhg jh7jzC6o", Hash=89.5789; Replacements: 5 (C-0 N-9 t-J X-1 S-u); Result: "ZfwllGHDhg jh7jz06o"
635. "4l27VSGlXg0I6Z", Hash=76.3571; Replacements: 5 (9-95 J-123 l-108 d-236 m-68); Result: [52 108 50 55 86 83 71 108 88 103 48 73 54 90]
636. "HoWJ2J", Hash=78; Replacements: 5 (p-167 m-93 r-209 T-109 J-189); Result: [72 111 87 189 50 189]
637. "BR RakFEU Ih6", Hash=73.3077; Replacements: 9 (2-Q Q-X u-s R-6 3-H s-z 0-A 5-e N-t); Result: "B6 6akFEU Ih6"
638. "cEHTTQHfKkAysIA7Mn8m", Hash=84.55; Replacements: 15 (y-w Z-o m-x U-u P-9 8-e B-G V-a G-2 a-7 S-b X-g u-z l-4 p-R); Result: "cEHTTQHfKkAwsIA7Mnex"
639. "Izovml", Hash=106.833; Shift: 5; Result: ")OÌŒ≠ç"
640. "99ZQY98", Hash=69.5714; Replacements: 18 (V-E 8-6 i-P l-9 d-m S-u c-h f-c C-O J-0 G-d y-C K-l 5-r T-J r-1 L-e Z-T); Result: "99TQY96"
641. "o3ZXvYrMv91XmAWim1Od", Hash=87.65; Replacements: 3 (8-60 h-19 b-128); Result: [111 51 90 88 118 89 114 77 118 57 49 88 109 65 87 105 109 49 79 100]
642. "XQ5M QrFl", Hash=78.2222; Shift: 19; Result: "¬ä©jäì2c"
643. "", Hash=0; Replacements: 5 (9-134 4-17 G-115 3-24 a-216); Result: []
644. "idmBkHBq", Hash=92.25; Replacements: 14 (y-K G-c E-I L-2 z-U K-y 9-Q q-u 2-d T-w m-N 1-x Q-D D-G); Result: "idNBkHBu"
645. "x3daaaYr", Hash=95.625; Replacements: 11 (W-  Z-I j-s p-v y-O 7-Q L-8 c-T u-a f-V A-7); Result: "x3daaaYr"
646. "DiEU0V4uzJW73hDhJvN", Hash=82.3684; Replacements: 8 (Z-97 o-105 6-94 e-202 p-63 h-101 v-2 b-176); Result: [68 105 69 85 48 86 52 117 122 74 87 55 51 101 68 101 74 2 78]
647. "t8RGR2ceJ4BfIzv", Hash=84.2667; Shift: 8; Result: "t8RGR2ceJ4BfIzv"
648. "YIdejy", Hash=98.3333; Shift: 9; Result: "≤í» ‘Ú"
649. "CGukY", Hash=90.2; Shift: 17; Result: "ÜéÍ÷≤"
650. "qciJDASHhL3", Hash=82.7273; Replacements: 9 (T-255 H-28 I-55 Q-137 v-143 n-218 m-35 Z-115 V-94); Result: [113 99 105 74 68 65 83 28 104 76 51]
651. "iDljuXNaU29Q", Hash=86.6667; Replacements: 5 (D-231 1-92 M-89 Y-165 U-172); Result: [105 231 108 106 117 88 78 97 172 50 57 81]
652. "fugElZNNekFXR nhL", Hash=89.1176; Replacements: 9 (b-139 j-183 y-203 i-201 R-22 v-191 6-225 z-75 D-232); Result: [102 117 103 69 108 90 78 78 101 107 70 88 22 32 110 104 76]
653. "fcx8NPY1cV", Hash=85.8; Replacements: 17 (9-w X-a G-Y 2-D 5-A E-o q-K t-3 1-4 u-Q  -V K-m 3-Z l-8 J-p d-e B-u); Result: "fcx8NPY4cV"
654. "eB7fbxPZ", Hash=89; Shift: 0; Result: "eB7fbxPZ"
655. "S eJIIZ0Sfnzlif5XU", Hash=85.1111; Replacements: 1 (V-6); Result: "S eJIIZ0Sfnzlif5XU"
656. "dtxA5fLo6ZXCtgTbx", Hash=91.9412; Shift: 5; Result: "åé(¶ÃâÌ∆KhéÏäL"
657. "6dV", Hash=80; Replacements: 12 (p-X A-4 k-c X-8 P-U r-7 Q-W D-g 5-1 z-Q 6-E  -w); Result: "EdV"
658. "IYix4yzxk", Hash=101; Replacements: 18 (9-a 1-X Y-n A-Z f-x k-g W-R j-2 H-f  -d E-8 I-A 0-k 6-V T-7 y-p 8-e t-j); Result: "Anix4pzxg"
659. "Ns77", Hash=75.75; Replacements: 0 (); Result: [78 115 55 55]
660. "PN 3zv2", Hash=75.8571; Shift: 19; Result: "Çrô”≥ë"
661. "t7cXsGEGAL", Hash=82.5; Shift: 12; Result: "Gs6Ö7tTtƒ"
662. "qA", Hash=89; Replacements: 3 (P-E Y-x o-Y); Result: "qA"
663. "HtWSxlo9PA", Hash=89.9; Shift: 3; Result: "B£∫ö√c{…Ç
"
664. "BgdUaHP", Hash=86.1429; Replacements: 9 (Q-9 C-A H-P t-u n-Q o-p y-c s-6 u-U); Result: "BgdUaPP"
665. "0", Hash=48; Replacements: 12 (4-a L-Y 7-w 5-q n-K p-7 t-o G-c C-P v-J e-s S-n); Result: "0"
666. "mQhLjHbKY0g0v mY", Hash=84.8125; Replacements: 19 (X-k 8-Y 2-p 6-R M-S O-H c-B W-F Y-L N-O v-X Z-s g-o B-a d-5 5-g V-Q 9-4 K-C); Result: "mQhLjHbCL0o0X mL"
667. "jhKV", Hash=92.75; Shift: 14; Result: "ö“ï"
668. "XrBPLWnuBCV15Jbi", Hash=83.5; Shift: 13; Result: "NH
âÍÕÆHh &¶IL-"
669. "ZbVjncfv6qIp1eMJZz", Hash=93; Replacements: 5 (E-115 k-69 s-130 f-78 T-181); Result: [90 98 86 106 110 99 78 118 54 113 73 112 49 101 77 74 90 122]
670. "SmFZjHuft7Tt8STd", Hash=90.1875; Shift: 11; Result: "ök2“SB´3£π¢£¡ö¢#"
671. "hvA8iYXMICGn2ZgMxZV", Hash=86.2632; Replacements: 1 (r-34); Result: [104 118 65 56 105 89 88 77 73 67 71 110 50 90 103 77 120 90 86]
672. "4dzlgOn", Hash=96.2857; Shift: 12; Result: "CFß∆vÙÊ"
673. "qA7Dm", Hash=82; Replacements: 1 (e-184); Result: [113 65 55 68 109]
674. "8DZDs1Q TFfQAP0PZm4", Hash=74.7368; Shift: 15; Result: ""-"πò®*#3®†((-∂"
675. "0dbUv YF", Hash=80; Replacements: 13 (l-M k-8 0-Y X-v n-R d-E I-x Y-6 S-H K-5 N-P x-I s-d); Result: "YEbUv 6F"
676. "hlLojcyES SqZg", Hash=92.7143; Replacements: 13 (8-i L-G t-w s-E q-V F-j P-I 1-S k-g w-r 6-4 U-e g-a); Result: "hlGojcyES SVZa"
677. "6AngXfKu", Hash=89.25; Replacements: 4 (q-S a-a B-2 I-g); Result: "6AngXfKu"
678. "Q", Hash=81; Replacements: 14 (5-16 y-133 Y-220 D-221 o-254 w-99 d-156 B-203 a-187 z-226 0-229 p-105  -243 l-116); Result: [81]
679. "P5vh2ej19", Hash=79.7778; Replacements: 19 (C-c J-g i-3 Y-A k-S  -E V-d x-5 0-Y F-9 f-f o-v s-t O-h N-2 c-O L-7 u-K K-I); Result: "P5vh2ej19"
680. "", Hash=0; Shift: 7; Result: ""
681. "nfcZCcn Xs", Hash=91.2; Shift: 4; Result: "Êf6•46ÊÖ7"
682. "C ", Hash=49.5; Shift: 16; Result: "C "
683. "u80n", Hash=82.75; Replacements: 0 (); Result: [117 56 48 110]
684. "4vHeHx", Hash=89.1667; Replacements: 17 ( -9 m-M z-N n-j s-b I-r 8-F t-f y-B P-Y 3-  6-o a-W 1-q K-p E-A u-k); Result: "4vHeHx"
685. "", Hash=0; Replacements: 7 (X-131 M-160 v-28 O-51 h-191 y-210 d-7); Result: []
686. "rilyW8QHd", Hash=93.7778; Replacements: 19 ( -z Y-h W-A A-W N-4 d-6 a-N T-0 n-b 3-B 2-5 E-E x-g i-I v-U 9-T u-2 5-8 G-R); Result: "rIlyA8QH6"
687. "3fPIcjNvjvt0u0rHg", Hash=91.1176; Replacements: 17 (w-120 X-88 s-56 I-44 O-101 j-189 r-237 Y-233 e-177 A-60 y-223 T-29 E-250 P-100 Z-194 Q-179 1-225); Result: [51 102 100 44 99 189 78 118 189 118 116 48 117 48 237 72 103]
688. "H1PbghiKe8BKvx2q0Ko ", Hash=82.55; Replacements: 14 (M-36 d-219 1-63 c-68 t-248 4-174 3-247 s-92 w-241 F-249 g-161 b-112 S-239 x-147); Result: [72 63 80 112 161 104 105 75 101 56 66 75 118 147 50 113 48 75 111 32]
689. "BiR1FUkgjwmZCgwYv0", Hash=90.8333; Replacements: 1 (a-138); Result: [66 105 82 49 70 85 107 103 106 119 109 90 67 103 119 89 118 48]
690. "y31IYwO0j8fM", Hash=80.8333; Shift: 2; Result: "ÂÃƒ%e›=¿©‡ô5"
691. "GteDVbmNsBV", Hash=90.3636; Shift: 0; Result: "GteDVbmNsBV"
692. "4XmuMeZCb W", Hash=83.4545; Shift: 17; Result: "h∞⁄Íö ¥Üƒ@Æ"
693. "hJUOvIm", Hash=91.7143; Replacements: 12 (V-39 q-220 y-103 u-170 4-59 j-26 h-27 p-143 C-56 9-173 R-161 0-106); Result: [27 74 85 79 118 73 109]
694. "jcBWm19w7QEdWtYDHxuz", Hash=89.4; Replacements: 2 (Q-V E-h); Result: "jcBWm19w7VhdWtYDHxuz"
695. "1Cqkyzm", Hash=98.2857; Replacements: 7 (Q-34 8-75 W-144 D-209 w-241 e-92 v-186); Result: [49 67 113 107 121 122 109]
696. "IKCoxC", Hash=85.5; Replacements: 3 (K-198 W-169 Z-238); Result: [73 198 67 111 120 67]
697. "6T", Hash=69; Shift: 1; Result: "l®"
698. "HovYD", Hash=91.6; Replacements: 12 (e-Z l-4 x-S C-L P-R o-D X-N a-K p-z Q-I Z-m V-k); Result: "HDvYD"
699. "k4rFEkJunf F", Hash=85.3333; Shift: 17; Result: "÷h‰åä÷îÍ‹Ã@å"
